0.005,988.7
0.01,567.2
0.015,440.7
0.02,511.9
0.025,444.4
0.03,467.4
0.035,419.5
0.04,416.7
0.045,438
0.05,390.2
0.055,380.3
0.06,389.5
0.065,397.5
0.07,364.4
0.075,396.1
0.08,412
0.085,432.9
0.09,389.1
0.095,438.3
0.1,425.7
0.105,390.9
0.11,458
0.115,394.3
0.12,394
0.125,441.1
0.13,422
0.135,441.6
0.14,420.8
0.145,404.1
0.15,386.2
0.155,377.7
0.16,454.1
0.165,403.4
0.17,385.6
0.175,449.6
0.18,395.7
0.185,366.3
0.19,417.3
0.195,396.1
0.2,370.8
0.205,390.9
0.21,440.4
0.215,376.3
0.22,467.7
0.225,454.6
0.23,430.6
0.235,399.8
0.24,801.9
0.245,460.6
0.25,529
0.255,452.3
0.26,518.3
0.265,408.9
0.27,423.1
0.275,463.5
0.28,395
0.285,489.9
0.29,390.7
0.295,389.8
0.3,420.7
0.305,378.8
0.31,401.4
0.315,589
0.32,1152.1
0.325,447.7
0.33,381.9
0.335,446.5
0.34,389.7
0.345,380.7
0.35,440.1
0.355,474.7
0.36,407.9
0.365,391
0.37,407
0.375,390.8
0.38,341.7
0.385,354.4
0.39,344.7
0.395,361.3
0.4,414.7
0.405,577.2
0.41,900.4
0.415,464.7
0.42,353.3
0.425,356.5
0.43,398.5
0.435,360.7
0.44,341.3
0.445,346.1
0.45,334.7
0.455,363.5
0.46,390.3
0.465,355.1
0.47,345.3
0.475,338.4
0.48,339.3
0.485,352.6
0.49,374.9
0.495,390.9
